hokej na lodzie (łącznie z hokejem na łyżworolkach);hokej na lodzie (łącznie z hokejem na łyżworolkach);hokej na trawie;hokej na trawie;piłka ręczna;piłka ręczna;piłka siatkowa (łącznie z plażową);piłka siatkowa (łącznie z plażową)
2018;2020;2018;2020;2018;2020;2018;2020
5300;4787;3134;2914;43117;33431;86166;67776
